section	offset	size	unit	scope	name	demangled
.text	0x00007B94	0x128	pl0f/pl0f.cpp	local	plboat_R2_R10eIn2__FP7cPlayer	plboat_R2_R10eIn2
.text	0x00007CBC	0x4A8	pl0f/pl0f.cpp	local	plboat_R2_R10eOut2__FP7cPlayer	plboat_R2_R10eOut2
.text	0x00008164	0xF4	pl0f/pl0f.cpp	global	pl00SetSwimCam__FP7cPlayer	pl00SetSwimCam
.text	0x00008258	0x1A0	pl0f/pl0f.cpp	global	pl00SwimCamMove__FP7cPlayer	pl00SwimCamMove
.text	0x000083F8	0xEC	pl0f/pl0f.cpp	global	pl00SetChaseCam__FP7cPlayer	pl00SetChaseCam
.text	0x000084E4	0x19C	pl0f/pl0f.cpp	global	pl00ChaseCamMove__FP7cPlayer	pl00ChaseCamMove
.text	0x00008680	0x104	pl0f/pl0f.cpp	global	pl00SetDieCam__FP7cPlayer	pl00SetDieCam
.text	0x00008784	0x130	pl0f/pl0f.cpp	global	pl00DieCamMove__FP7cPlayer	pl00DieCamMove
.text	0x000088B4	0x13C	pl0f/pl0f.cpp	global	pl00SetDropCam__FP7cPlayer	pl00SetDropCam
.text	0x000089F0	0x2A0	pl0f/pl0f.cpp	global	pl00DropCamMove__FP7cPlayer	pl00DropCamMove
.text	0x00008C90	0xCC	pl0f/pl0f.cpp	global	plboatSetSpear__FP7cPlayer	plboatSetSpear
.text	0x00008D5C	0xFC	pl0f/pl0f.cpp	global	plboatBlendMotSet__FP7cPlayerPvN21iii	plboatBlendMotSet
.text	0x00008E58	0xFC	pl0f/pl0f.cpp	global	subBlendMotSet__FP8cSubCharPvN21iii	subBlendMotSet
.text	0x00008F54	0xB0	pl0f/pl0f.cpp	global	plOnBoat__FP7cPlayer	plOnBoat
.text	0x00009004	0x180	pl0f/pl0f.cpp	global	testSearchEm2f__FP5cPl0f	testSearchEm2f
.text	0x00009184	0x50	pl0f/pl0f.cpp	global	plboatSightCurGet__FP7cPlayerP3Vec	plboatSightCurGet
.text	0x000091D4	0x60	pl0f/pl0f.cpp	global	plboatSightCurMove__FP7cPlayer	plboatSightCurMove
.text	0x00009234	0x224	pl0f/pl0f.cpp	global	plboatSpearThrow__FP7cPlayer	plboatSpearThrow
.text	0x00009458	0x15C	pl0f/pl0f.cpp	global	pl0fLongRopeSet__FP5cPl0f	pl0fLongRopeSet
.text	0x000095B4	0x230	pl0f/pl0f.cpp	global	pl0fSwimPosSet__FP7cPlayer	pl0fSwimPosSet
.text	0x000097E4	0xF4	pl0f/pl0f.cpp	global	pl0fHidePosSet__FP7cPlayer	pl0fHidePosSet
.text	0x000098D8	0xD4	pl0f/pl0f.cpp	global	pl0fBossDiePosSet__FP7cPlayer	pl0fBossDiePosSet
.text	0x000099AC	0xBC	pl0f/pl0f.cpp	global	pl0fSetAnchor__FP5cPl0f	pl0fSetAnchor
.text	0x00009A68	0x84	pl0f/pl0f.cpp	global	pl0fSetAnchorEm2f__FP5cPl0f	pl0fSetAnchorEm2f
.text	0x00009AEC	0x238	pl0f/pl0f.cpp	global	pl0fSetAnchorEm2f__FP7cPlayer	pl0fSetAnchorEm2f
.text	0x00009D24	0x380	pl0f/pl0f.cpp	local	subBoatRide__Fv	subBoatRide
.text	0x0000A0A4	0x110	pl0f/pl0f.cpp	local	subBoatGetoff__Fv	subBoatGetoff
.text	0x0000A1B4	0x1C8	pl0f/pl0f.cpp	local	subBoatR10dIn__Fv	subBoatR10dIn
.text	0x0000A37C	0x1C8	pl0f/pl0f.cpp	local	subBoatR10eIn__Fv	subBoatR10eIn
.text	0x0000A544	0x1C8	pl0f/pl0f.cpp	local	subBoatR10eIn2__Fv	subBoatR10eIn2
.text	0x0000A70C	0xE8	pl0f/pl0f.cpp	global	subOnBoat__FP8cSubCharP5cPl0f	subOnBoat
.text	0x0000A7F4	0x14C	pl0f/pl0f.cpp	global	setBossStart__5cPl0fP3Vecf	cPl0f::setBossStart
.text	0x0000A940	0x28	pl0f/pl0f.cpp	global	stopEngine__5cPl0f	cPl0f::stopEngine
.text	0x0000A968	0x4	pl0f/pl0f.cpp	global	beginEvent__5cUnit	cUnit::beginEvent
.text	0x0000A96C	0x4	pl0f/pl0f.cpp	global	endEvent__5cUnit	cUnit::endEvent
.text	0x0000A970	0x20	pl0f/pl0f.cpp	global	_._5cPl0f	cPl0f::~cPl0f
.text	0x0000A990	0x48	pl0f/pl0f.cpp	global	_._5cUnit	cUnit::~cUnit
.text	0x0000A9D8	0x4	pl0f/pl0f.cpp	global	__dl__5cUnitPvUi	cUnit::operator delete
.rodata	0x00000054	0x10	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_54	lbl_pl0f_rodata_54
.rodata	0x00000064	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_64	lbl_pl0f_rodata_64
.rodata	0x00000068	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_68	lbl_pl0f_rodata_68
.rodata	0x0000006C	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_6C	lbl_pl0f_rodata_6C
.rodata	0x00000070	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_70	lbl_pl0f_rodata_70
.rodata	0x00000074	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_74	lbl_pl0f_rodata_74
.rodata	0x00000078	0xC	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_78	lbl_pl0f_rodata_78
.rodata	0x00000084	0xC	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_84	lbl_pl0f_rodata_84
.rodata	0x00000090	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_90	lbl_pl0f_rodata_90
.rodata	0x00000094	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_94	lbl_pl0f_rodata_94
.rodata	0x00000098	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_98	lbl_pl0f_rodata_98
.rodata	0x0000009C	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_9C	lbl_pl0f_rodata_9C
.rodata	0x000000A0	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_A0	lbl_pl0f_rodata_A0
.rodata	0x000000A4	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_A4	lbl_pl0f_rodata_A4
.rodata	0x000000A8	0x4	pl0f/pl0f.cpp	local	lbl_pl0f_rodata_A8	lbl_pl0f_rodata_A8
